sample	lines	mappedPairs	R1proper	R2proper	junkyPair	multicontigs	discard	fragments
F10_LibB4-1	3044659	1588276	794138	794138	116798	1208664	247719	40770
B4-FC	229084	165816	82908	82908	10525	43504	19764	71084
C1-LibC1	205948	156570	78285	78285	10637	34412	14966	5178
B3-FA	444397	342594	171297	171297	21820	71776	30027	143817
C3-LibC1	155922	119426	59713	59713	8012	25767	10729	5005
D11_FB-2	1397729	1035946	517973	517973	60826	235908	125875	413343
B11-Lib18c	184147	122846	61423	61423	9407	49762	11539	17556
B6-FC	258536	186898	93449	93449	11653	49271	22367	79656
B1-FA	592762	447816	223908	223908	29924	98428	46518	189741
F3_LibB1-3	1968217	1501272	750636	750636	79841	307588	159357	93088
B9-F18c	434498	322918	161459	161459	22077	79078	32502	134356
F11_LibB4-2	2667727	1418664	709332	709332	121262	1018220	230843	38870
F4_LibB2-1	1916693	1457526	728763	728763	77191	309897	149270	126868
gLibA-A5	355053	276964	138482	138482	30219	55685	22404	472
B7-F18c	101986	75172	37586	37586	5647	18924	7890	31509
F8_LibB3-2	3684404	2712002	1356001	1356001	166110	664999	307403	153399
B8-F18c	315641	235000	117500	117500	16634	57867	22774	98357
F5_LibB2-2	2264001	1723194	861597	861597	85100	362528	178279	134349
C7-LibC3	117594	88352	44176	44176	5113	20197	9045	5752
F7_LibB3-1	1999248	1467720	733860	733860	97853	357783	173745	129278
F12_LibB4-3	4317848	2323702	1161851	1161851	133389	1641217	352929	44937
F2_LibB1-2	1719760	1318560	659280	659280	84154	261270	139930	90347
D10_FB-1	1778412	1317646	658823	658823	74527	301360	159406	522946
Undetermined	152379	55438	27719	27719	8606	73674	23267	17300
D12_FB-3	1970973	1466722	733361	733361	86537	330404	173847	575167
F1_LibB1-1	1959168	1500958	750479	750479	79639	304185	154025	92822
B12-Lib18c	140801	95852	47926	47926	6840	35867	9082	16010
gLibA-A6	503509	399114	199557	199557	24798	77947	26448	481
C4-LibC2	122962	89874	44937	44937	5730	23193	9895	23931
F6_LibB2-3	2313761	1740592	870296	870296	110987	377247	195922	132963
C5-LibC2	205161	148912	74456	74456	8792	38683	17566	33332
C6-LibC2	118709	85760	42880	42880	5589	22539	10410	23709
B2-FA	631980	480134	240067	240067	32068	103854	47992	203572
B5-FC	259194	186424	93212	93212	11812	49266	23504	77952
gLibA-A7	730547	573080	286540	286540	51457	111032	46435	540
F9_LibB3-3	3052977	2207970	1103985	1103985	189497	550218	294789	143289
B10-Lib18c	190550	129462	64731	64731	9087	47990	13098	19065
C8-LibC3	169371	126874	63437	63437	7399	29215	13282	6208
C2-LibC2	269844	206358	103179	103179	13774	44371	19115	5322
C9-LibC3	129189	97950	48975	48975	5596	21987	9252	5879
